data_type,mode,median,mean,fwhm,fwhm_midpoint,peak_tot(fit),peak_tot(histogram),error,shape,loc,scale,filename,energy,timestamp
isolated,14.40509455627121,13.316361671394105,12.917780344796714,4.901250636148475,13.521424634072316,14.404740474047404,13.818181818181818,2.3640470601931782,-4.637319228595452,15.864012424076963,3.7774332512683833,ToTdata_datadriven_20250608_104654.h5,16keV,2025-07-15 15:24:42
cropped,14.085923239390233,12.535383615301106,12.00587417117762,6.084715320865621,12.817539613220159,14.085708570857086,13.818181818181818,2.9682140292039074,-5.49665972202064,15.767066836967553,4.791332256518523,ToTdata_datadriven_20250608_104654.h5,16keV,2025-07-15 15:24:42
all,14.314718585960192,12.647764066258118,12.097846923315187,6.152664200915151,12.946648507545502,14.314731473147315,14.727272727272727,3.0164501773401806,-5.983570109775083,15.945317633186134,4.888967430418253,ToTdata_datadriven_20250608_104654.h5,16keV,2025-07-15 15:24:42
isolated,12.266378128873026,11.31443303516116,10.97297360189858,4.1065350153855995,11.491769674008326,12.266226622662266,11.777777777777777,1.9876909451247595,-4.876114910449476,13.463702105896058,3.1866351805558897,ToTdata_datadriven_20250608_115316.h5,12keV,2025-07-15 15:27:19
cropped,11.999912999421634,10.707315811416532,10.268427447324218,5.019640372980067,10.94193692251154,11.999799979998,11.777777777777777,2.4507592484241423,-5.574456649644935,13.377522800018106,3.9588754471287926,ToTdata_datadriven_20250608_115316.h5,12keV,2025-07-15 15:27:19
all,11.815802240854314,10.682884581259191,10.267077570171551,5.1279759755611956,10.896574856190563,11.815781578157816,11.777777777777777,2.4722992533976735,-4.608412057068281,13.346023508216655,3.9486924022713064,ToTdata_datadriven_20250608_115316.h5,12keV,2025-07-15 15:27:19
isolated,10.328132674006177,9.657955603869636,9.388865436600076,3.799228866829738,9.792775082737844,10.328532853285328,9.88888888888889,1.7985120263411631,-3.6454151899107474,11.555592321720074,2.815910315261408,ToTdata_datadriven_20250608_120847.h5,10keV,2025-07-15 15:38:07
cropped,10.083276375906486,9.204734674000669,8.866196317999659,4.453136672966106,9.375680739600034,10.082908290829083,9.88888888888889,2.127155369365054,-4.073604883704042,11.473788967007923,3.3651640953422346,ToTdata_datadriven_20250608_120847.h5,10keV,2025-07-15 15:38:07
all,9.686275103907446,9.120808125873369,8.870799924931305,4.6776900505480485,9.249025643809754,9.686068606860687,9.88888888888889,2.1521671806337292,-2.652677489353735,11.286031491790656,3.234991050211856,ToTdata_datadriven_20250608_120847.h5,10keV,2025-07-15 15:38:07
isolated,8.634335570908508,7.945779797562065,7.678268185840499,3.56380450123061,8.080569735736068,8.634163416341634,8.777777777777777,1.699459054314449,-3.9870471491301736,9.75509237447626,2.6835349425326935,ToTdata_datadriven_20250608_122428.h5,8keV,2025-07-15 15:39:48
cropped,8.540255604462997,7.677397134400296,7.357563875631371,3.990995693842674,7.841085328674904,8.54055405540554,8.777777777777777,1.9207221777465817,-4.496616148339302,9.742710874256339,3.062368346417077,ToTdata_datadriven_20250608_122428.h5,8keV,2025-07-15 15:39:48
all,8.255601029419283,7.576891987277078,7.293667256061873,4.361524055564769,7.718927688783628,8.255725572557257,7.888888888888888,2.0444768821150747,-3.252506720007265,9.704309259621242,3.160867063137535,ToTdata_datadriven_20250608_122428.h5,8keV,2025-07-15 15:39:48
isolated,7.05317872178012,6.722875414778599,6.572116504968318,3.3414995256357063,6.802258485055476,7.0532053205320535,7.0,1.51689697783623,-2.298225248574446,8.200093216590414,2.2251482231421305,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 15:41:28
cropped,6.938982179717561,6.667561990318578,6.540279932354585,3.5039015807320686,6.736766544855428,6.938793879387939,7.0,1.5681388201811999,-1.964728488554591,8.126183859490787,2.230280391669468,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 15:41:28
all,6.509507674728129,6.486484858584525,6.475002378687514,4.1564300993640275,6.4934928350824865,6.509150915091509,7.0,1.7688460714550422,-0.5977729970276879,7.268702533202765,1.9387563951614626,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 15:41:28
