data_type,mode,median,mean,fwhm,fwhm_midpoint,peak_tot(fit),peak_tot(histogram),error,shape,loc,scale,filename,energy,timestamp
isolated,7.036212025817101,6.55491895860351,6.3436199101001565,3.8371535071796705,6.662812975280316,7.036603660366037,6.909090909090908,1.7700568366909268,-2.7278921179142737,8.345396909183467,2.672117579593996,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 11:37:16
cropped,7.088023802832476,6.576488449565316,6.3548194074459605,3.829687166609518,6.688913282448665,7.087608760876088,6.909090909090908,1.774658793222434,-2.8648601167055032,8.3875745479905,2.6984268183095046,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 11:37:16
all,5.633406891056999,7.10000077638622,7.670959276143679,7.631347348754567,6.812457638646327,5.634463446344634,6.923076923076923,3.637560831661906,3.9654593522973594,3.2292540834258903,5.741131754546052,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 11:37:16
